Date,Open,High,Low,Close,Adj Close,Volume
2020-11-11,37.349998,37.650002,34.500000,35.950001,35.950001,18207273
2020-11-12,37.049999,37.700001,36.049999,36.500000,36.500000,10119124
2020-11-13,36.099998,36.349998,35.500000,35.900002,35.900002,5652868
2020-11-16,36.700001,36.700001,35.049999,35.650002,35.650002,5970500
2020-11-17,34.950001,34.950001,32.500000,32.900002,32.900002,12456034
2020-11-18,33.000000,33.349998,32.349998,32.599998,32.599998,5098544
2020-11-19,33.049999,33.500000,32.599998,33.049999,33.049999,4234360
2020-11-20,33.799999,33.799999,32.799999,33.200001,33.200001,3132419
2020-11-23,33.799999,35.549999,33.200001,35.049999,35.049999,8968574
2020-11-24,35.400002,35.400002,34.049999,34.349998,34.349998,3511433
2020-11-25,34.349998,34.549999,33.349998,33.349998,33.349998,4471701
2020-11-26,33.200001,33.299999,32.500000,32.750000,32.750000,4095247
2020-11-27,32.799999,32.900002,32.000000,32.299999,32.299999,4064711
2020-11-30,32.900002,33.250000,32.500000,32.599998,32.599998,6626457
2020-12-01,33.099998,34.400002,33.000000,33.950001,33.950001,8554137
2020-12-02,34.400002,34.549999,33.500000,33.799999,33.799999,5202615
2020-12-03,34.250000,35.599998,34.049999,35.049999,35.049999,7280296
2020-12-04,34.599998,35.500000,34.450001,35.250000,35.250000,4203700
2020-12-07,35.349998,35.450001,34.849998,35.000000,35.000000,3038814
2020-12-08,34.849998,35.500000,34.000000,34.099998,34.099998,4238722
2020-12-09,34.599998,35.099998,34.000000,34.849998,34.849998,3958910
2020-12-10,34.750000,35.500000,34.299999,34.849998,34.849998,3595325
2020-12-11,35.400002,36.400002,34.849998,36.200001,36.200001,9111738
2020-12-14,37.000000,37.400002,35.849998,36.299999,36.299999,6090778
2020-12-15,35.599998,36.799999,35.400002,36.099998,36.099998,5265108
2020-12-16,36.849998,39.200001,36.549999,39.000000,39.000000,12614835
2020-12-17,39.000000,40.500000,38.799999,39.950001,39.950001,11988978
2020-12-18,40.150002,40.799999,39.099998,39.950001,39.950001,7528033
2020-12-21,40.000000,40.000000,38.750000,39.599998,39.599998,5095069
2020-12-22,39.000000,41.000000,39.000000,39.849998,39.849998,5096749
2020-12-23,39.750000,40.349998,39.099998,40.200001,40.200001,4038000
2020-12-24,39.150002,39.150002,39.150002,39.150002,39.150002,0
2020-12-28,39.200001,39.650002,37.250000,37.400002,37.400002,5954082
2020-12-29,37.349998,37.450001,36.000000,36.400002,36.400002,5998678
2020-12-30,36.400002,36.500000,35.349998,35.849998,35.849998,7325355
